path	sha256	bytes
data\analysis\forecasting_quality_report.csv	472ba82696d3405b66aba68b65b48f9eb4e7af4238d4d8951ff2c8ac8e8f9146	1125
data\analysis\forecasting_summary.csv	de2698c664b0d0c7ecabaf834422305e113118bd20e4e3192c65f857fab3473e	431
data\analysis\forecast_inventory_insights.csv	99027d1fb98c0c7cf62f4df22adcecabb9581f62ca3f769f3b72d8ce246690de	4174
data\analysis\inventory_demand_summary.csv	4857c52d6e345d5b1855fa186868489c357aefa0d2c710779fc538252470a346	479
data\analysis\inventory_densification_summary.csv	738a30d447e3d9cf5d5e7622bf5b8808e0a091c3709e92fa43d541c715313456	243
data\analysis\inventory_forecast_error_summary.csv	5355e85cbcdfdf6bbfdf3e52bb20e05ac99ff23cfc68b5c91b0a63cd8cf95533	1236
data\analysis\inventory_forecast_scenarios.csv	bdf3fc17606be4c0e5fbec997bedd157403053863e3be1dab1d7fdcf9b9b1847	11511
data\analysis\inventory_scenarios.csv	d81dc98f8d5467b38871aaaec2280f6b8014ab499ee83b0f19ee9bcdc7126cb0	9547
data\analysis\inventory_variability_summary.csv	7b649bfab58b1c40a6c846eee20c1e88088afc9cb19e82eb4282e3503ee2080b	629
data\analysis\model_error_analysis.csv	15de5c57ab8c57f48ced18f561691ef2a306b43ba8e9126c23896c2ff7bbc930	1727
data\analysis\model_evaluation_findings.txt	353fba38f9be4b74187c8f926fcbca0987b2e6e726996a4cdbbe11b0a1276b53	2850
data\analysis\model_evaluation_predictions.csv	5a231bd087e7f601533a1f45423d1c844ac80d926b34ea034d738fd968b95106	370431
data\analysis\model_evaluation_quality_report.csv	bedb86412cba943ea58a26d990464250d917f96308d988e18eb1535edc603f22	1354
data\analysis\model_tuning_results.csv	2ddc137bec48685bf6374a34f3252c583f0207459afdc35fcc418e1443608cd5	15695
data\analysis\model_tuning_summary.csv	82c87e350ecfde8a9b9f1e6a57b9408904895114c5cdef66e196e814b290b89e	5690
data\analysis\retail_demand.db	7942770944864c600a9efafd4ab48583e5f491e7a6695fecf32a45bd75dd9eaf	1065820160
data\analysis\retail_spreadsheet_analysis.xlsx	c7c2ad776a968c7409d96deeed9290b602315b5ae571287af56d263e202bd867	1224067
data\analysis\selected_model_configurations.csv	162afaf072ed662783bfb5d98d5e3b5e170e3def8b4f974ffac96dfcee4d31a4	1247
data\analysis\statistical_autocorrelation.csv	e0252cc8a9979aa21ef6652b62bbe7a58e567e5237407500658caa3c31528a58	338
data\analysis\statistical_category_analysis.csv	0e07b74b7b965ce9b5c3b7742030d2f8170b3f007b5fc64dab8a7d98099fdeae	7711
data\analysis\statistical_correlations.csv	610b5bdbb0664b735f8c59c6042ec519c69c29004420302b46a332318a22246d	959
data\analysis\statistical_findings.txt	f96abe471040d5501860aa93c639349058bfa3ddeaf94c1e84ecc2474e7d8a7f	2913
data\analysis\statistical_monthly_activity.csv	0bdc290ec11aef9ce2be5c4180dc8ddf6726c9d814fbbe5c8a38cb31caf2b343	1516
data\analysis\statistical_price_demand.csv	71ae7739a924d095f2b5613f5e41aceee3be4e4a6607a2d3fb706beb1d25a08a	151
data\analysis\statistical_promotion_analysis.csv	f89b567e8a39ede09a0ead797110e1e37785866c7543b99d9d71c5b90fa5615d	575
data\analysis\statistical_quality_report.csv	4c263047f1afb5080f78685a77e90fe8aed4a3434e692556cd9e33a3cc9e6d85	1740
data\analysis\statistical_store_analysis.csv	cd772fa598073caa2693af6d7361804281e0defe6ab5455b1da73ff35dcb4238	273
data\analysis\statistical_summary.csv	4ec2aa2f3168d8e2bd7c0282fa69d7358ebbb856be091e6b63dc44e27e1f9544	376
data\analysis\statistical_trend.csv	082b189906639addcad247ea56e47ef05e35568e15298dce297e7144b440ca91	259
data\analysis\time_series_findings.txt	889948ede67aa026e3316c2500d04bc43d7dfda2a3e6705afd4383eb59b29be3	1551
data\analysis\time_series_gap_summary.csv	893d8169e05eee22a6b9be232352fccd91409f0b15e49d5eceaf71966ea56a3b	2761430
data\analysis\time_series_quality_report.csv	2e84a4a6cfc90b4dc5930b7efa558e9fecc90f0da00e7db1c8ef309a3cfc410a	808
data\analysis\time_series_split_summary.csv	8ef269329af82d2ec994a89a72cd8d7025ddebb88ed92be441a446d5f08ae7c1	191
data\analysis\time_series_summary.csv	42fd598d879e3697f5570496fff25fa172017e87980f1927235bcf6e293edfab	300
data\analysis\tuned_validation_results.csv	8540a56e199ed9c4f5350a295f8fbb95a639f10aafc3b3c94ceecfcb8699ffad	932
data\analysis\visualization_manifest.csv	0a0b2cfa2803b7768dd1956dfe9979186c762970395e4d335a3f5f3a93242e1d	894
data\analysis\visualization_quality_report.csv	30b87ac0490ce0ebadf9b147ab92e9c4e5b5e8b66728b5e237296299ce80fa1f	4307
data\analysis\r\r_analysis_findings.txt	cbf07c3ae1d1b9dae349f7d83d77819523225101810cfc38db9511081ca3aea3	2257
data\analysis\r\r_analysis_quality_report.csv	5963e02a6104dc8a8c14cc57666bf47a1fa016c65aaed66ced18c602e256ae85	6276
data\analysis\r\r_analysis_report.html	da994481599cd57f467e93683c6738b6c95aad867cc1396dc7bd1093e681725d	1430678
data\analysis\r\r_baseline_forecast_inventory_scenario.csv	778dc03336c8bb138f6e46a4cdfc3f6ae861534920c55a99ffc32884c618f4a8	1282
data\analysis\r\r_baseline_inventory_scenario.csv	3a7fcc301f7cc1396fce738db911fcf6230eb22b9deedd80ffb9bd1f56ba3230	1036
data\analysis\r\r_environment.csv	2b419d7ba794d56b2709e1a4ad48dffd9922ee79a85d27e040f17278713ff034	377
data\analysis\r\r_forecast_inventory_scenario_summary.csv	faed49fbda45fb093c356e0b5fa6a3fc8b5c2f82135d0b0dd5f604d71cedf920	680
data\analysis\r\r_inventory_scenario_summary.csv	81732bcf51ceb96537f35c234921675f38477c311c8a500cc029bb4262c2869d	678
data\analysis\r\r_metric_reconciliation.csv	f67679f6e5b695e49c4f2ef3800e0015cbbe26aff35356f12e661e96831addbc	734
data\analysis\r\r_phase13_consistency.csv	0863af8227a08f985012af0825d6fc3394719fb24b8b4319b3836369c4dec468	105
data\analysis\r\r_phase13_reconciliation.csv	38e2ff2fe7d99c08c7bfb4e43dd4e4e014e0c9e1a23a7374af197a23f3dd6386	1186
data\analysis\r\r_store_analysis.csv	ade9795e19e8cdd8619529ca72fe2e8bc0a8d17892123481deb04b0d2b5dc0da	882
data\analysis\r\plots\average_daily_demand_by_store.png	ce91f71e915ef801ea8accfda083e664a1e61e1c3ab7f59a4e57848d447e2cc8	26614
data\analysis\r\plots\demand_variability_by_store.png	8e465ed2ecf8fa44a21878d8a46026adb0ce25910b2b74a3fd4fb52324e53df0	26705
data\analysis\r\plots\inventory_reorder_point_scenarios.png	4d18fb023610f906f896568e8bf51add55867e185274d24b59454fbe20cec71d	96022
data\analysis\r\plots\inventory_scenario_family_comparison.png	0abe64a856e5a45b00ba48ded6711df0336e3a4d2517b9ac8996cef0eeee389b	130907
data\analysis\sql_results\query_1.csv	a60d9b5e8c616586795a8f2e27d86a2a001733f6187820f9e98dffffc2c07555	154
data\analysis\sql_results\query_10.csv	6167517bdf351d57ff70defe3c7e338f55def1ef67f373a5040cdb796af91273	495
data\analysis\sql_results\query_11.csv	76128490a3c26e00d91f6637604ee5262401786919687830b739ec139e9aba9d	1960
data\analysis\sql_results\query_12.csv	659fab7f0ae44eb2e62dc6bd0f60e672d7cbc1dc832c3270a4eab0b8e814b925	25232
data\analysis\sql_results\query_13.csv	4eaee7176be3f3506f78731da93335f678672aa367c5924253404f561d5941e2	735
data\analysis\sql_results\query_14.csv	2f4c4425124a1b3579bf62dee24600793aa0bb6406ccb10bbd64cfa0ae654896	181
data\analysis\sql_results\query_15.csv	2b742a34385c4d3076cfb5beaba630be0d0e334f59c24d6457108bb26a20e2b4	69127
data\analysis\sql_results\query_16.csv	2090ff232fdfe6aec4d3fa0af2fc804ed517ae1073563644fd52e35afd4cbf60	28
data\analysis\sql_results\query_17.csv	0589d8aebb7d22545284d629c78e507e9a003cbdaeb3e8fcf2a6faeb9c3a37eb	34
data\analysis\sql_results\query_18.csv	e408a99e5128ae1e9954451205e5e5695f2499c2297eab795ca212c2d17ffb36	87
data\analysis\sql_results\query_2.csv	b9bf7a00d75b74456b23d6c34aca341b9a573e79c7cc860e5f40453c213e367e	989
data\analysis\sql_results\query_3.csv	6f1581972593c83eae3234f859ae6cbb9b3cf4b04f8ee4b67f33589c6e1c4072	157
data\analysis\sql_results\query_4.csv	ad2f89803daee60f16467a14e18736069178ecc405532845f590df81c276cc03	206
data\analysis\sql_results\query_5.csv	1f8aa712e1ba121cf982deb50ce68be5267bfa89b3b6ee02f10a2aabe9c1bb7d	86
data\analysis\sql_results\query_6.csv	49fae2359b48d081d0fdd0fafd32b3d39a875caa6863e09cd5e999f52d412555	253
data\analysis\sql_results\query_7.csv	fc1d85e3844dd63d791411b096f3c170a4e73b6256a946c6c9a033a08669e04b	238
data\analysis\sql_results\query_8.csv	982fb354a4391192185fa174571bd412283d34472a0db7b60e21f9109f663be4	7218
data\analysis\sql_results\query_9.csv	a9d61493de54bb9a5cd85c71b3e5e88b69d66e8f618990ae6fa886b260027d78	20444
data\analysis\visualizations\lowest_validation_rmse.png	b868be45413ad6072f924e9d9228caf7c91c08250bf5a870c8494a9f0ab7ba69	43048
data\analysis\visualizations\reorder_point_by_lead_time.png	64d17cb4d6e22d831f57b3d299799ae58385762b9d83aa72c7aeb2d62b3d20b7	103628
data\analysis\visualizations\store_average_daily_demand.png	33d5a9d4064230a2cdb1082e23d83e47aecbf93ff9bb94fdcebd90fd65f588a7	32067
data\analysis\visualizations\store_demand_variability.png	58a0b7d4837d6b49cae709d33f2bcad41cc579fbb730ba84ebf5c558fc5c5416	36079
data\processed\.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
data\processed\cleaning_summary.csv	5ec0e1b171c7bd50283097687a746f43249097fdb6ea26565212dfb35ea18786	576
data\processed\data_quality_report.csv	8393f85f612d869bb476e6852c0ae068ebf62f4dffd8de36c374acc09821f580	416
data\processed\feature_engineered_daily.csv	7fbe2f8155887b7cd2218237663763b4631a33721b109d162bbc0cad7c58c0e3	887995450
data\processed\integrated_retail_data.csv	a1ed233d059a897fbf18e60b4fd79b2f7eb4f33f9f1e83800fde15ccf481e3f3	1283859491
data\processed\integration_quality_report.csv	78c5f6d7d4cf0fb31e07e711f036231b02399e25326f446cca2838ea7086319f	463
data\processed\sales_clean.csv	5d99cc856395887a7fcdcb81408f3aef97f1e3735b8a6939e8959bf1e8216d7d	322801399
data\processed\time_series_daily.csv	996af0cf0b0b18a493b214493969f734a35e8c5612a9b4fc89d2964e7d5894bb	283764237
data\raw\.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
data\raw\actual_matrix.csv	8a44885bfe1cf0bb29de44ab4809b0c7a51661cdff315dff801612757dac3a05	1115377
data\raw\catalog.csv	ff9c8c86a0697372ce0ab6cdd9b6a9dcf3d30bc2c62bdf4b6d1b7f54f209c668	16024094
data\raw\discounts_history.csv	ef0fdc89e778db71fc8ce5a1736742c9d5b36af9793af7d9654750de3cc868c4	341483059
data\raw\markdowns.csv	b98fe7e761a238f90fee7ed036ee48cfc6f381b94694508645f02fe2781cf1fd	426080
data\raw\online.csv	98f739bdd839a161235dbdc55370e15b1ef02a69c147d2fe8f108fa6db4380ae	56839802
data\raw\price_history.csv	4c8c7d6169c29227c9aa9709dd00b431fbbdd310758fe237dcc7d73df414ee20	29279545
data\raw\sales.csv	8e7d21b0f9b4b654ed91a635d0ca49a9edaa425d6ebe813155a7ea3622dd8c20	379235110
data\raw\stores.csv	a8bbdf76038f3d6316a49349a195fd8e82124b51e5490c0a3fd358f1d0e6d2a0	158
deploy\README.md	14fcf7795a8baca05da57dd77c5c32b1d527d92c55ee2eb88cc187996ec6224c	1765
deploy\artifacts\forecasting_model_configurations.csv	cc5f2a90b8bc4030ce0baea024025addbcb4ba1f70f107467b544dc9235720f8	1271
deploy\artifacts\forecasting_model_results.csv	9024255cf5a2a28a4a69f89ec977cb4b1959b9feefd0dd1719276d3a49c83583	872
deploy\artifacts\inventory_demand_summary.csv	4857c52d6e345d5b1855fa186868489c357aefa0d2c710779fc538252470a346	479
deploy\artifacts\inventory_scenarios.csv	d81dc98f8d5467b38871aaaec2280f6b8014ab499ee83b0f19ee9bcdc7126cb0	9547
deploy\artifacts\inventory_variability_summary.csv	7b649bfab58b1c40a6c846eee20c1e88088afc9cb19e82eb4282e3503ee2080b	629
deploy\artifacts\selected_model_configurations.csv	162afaf072ed662783bfb5d98d5e3b5e170e3def8b4f974ffac96dfcee4d31a4	1247
deploy\artifacts\tuned_validation_results.csv	8540a56e199ed9c4f5350a295f8fbb95a639f10aafc3b3c94ceecfcb8699ffad	932
r\r_analysis.R	640345b6c360a244e537e85d2228d59d8f7fc73de6e5cf609c6d6f5a2a9bc4a7	53927
r\r_analysis_report.Rmd	0d47f1fa8323d0ad1eb20c55ac55da6b4fff852d965e513759a4dfbacefc2cca	11587
tableau\Retail_Demand_Forecasting.twb	6aea7fdb7e5ef247f9551d2debbb19e77c595af5f4be9fcbca738eae5ced2827	171074
tableau\tableau-dashboard-specification.md	64d8d4e18fbc8c9b99030fcb5866389b04e46c5adcbcdc5158b4cff074ccc0be	2256
tableau\tableau-data-dictionary.md	fa7e8a56da59285c9e7b801a2de5157cf6fa9b75887a2aa10258593c36e1b311	2490
